Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample055,0.281360003237289,0,0.0497743060035889,0,0,0.330597382256267,0,0,0,0,0,0.0168742441954243,0.0246925365044947,0.0587835819796145,0.0387730073365197,0.110314431716744,0.0251830605421482,0,0.0611864638601906,0,0,0.00246098236772029,0,0.40665649217678,0.914518407866084
sample056,0,0.00501490331078114,0.0254068069903039,0,0,0.51445454872307,0.00940501239773932,0,0,0,0.0624954094684633,0,0.0088446147051522,0.00185663434849036,0.0493743317538628,0.169299554190435,0.0360380166526206,0.032229697020863,0.0212674531271868,0.00132193699287505,0.0570759246575795,0.00591515566057745,0,0.0588884125696255,1.07199812686927
sample057,0.0814551201501868,0,0.000547645552349015,0.0132575671174165,0,0.13841063317113,0,0.00693547978916097,0.0207310769101509,0,0.0278186271682799,0,0.366505190802157,0.210934147571408,0.0030313779811327,0.0752461201850975,0,0.031116057718154,0.0240109558833768,0,0,0,0,0.31076222851596,0.96082073806285
sample058,0,0.00796482283009764,0.0209664861904296,0.0226378338013183,0,0.225440664086537,0,0,0,0,0.0100455282217173,0,0.01141649227113,0.156924337094248,0,0.349955253935878,0.0259368803805906,0.0379773095173976,0,0.00451992396432865,0.0214737683193731,0.104740699386954,0,0.0970507895057039,1.06018970903443
sample059,0.318311662069707,0,0.00662257995881787,0.0382356100172629,0,0.132223466095028,0,0,0.0773558658990623,0,0.0365752558078142,0,0.0416272619842653,0.251322537800113,0.0184725546585412,0.051936075112924,0,0.0273171305964642,0,0,0,0,0,0.359497606818899,0.940552468241393
sample060,0.0202977359182037,0,0,0.0385318715228649,0,0.183168796653745,0,0,0.0176526776935547,0,0,0.0364674756422857,0.194335707690873,0.260842483524693,0,0.0431939585923537,0,0.053266044067158,0.140249038663577,0,0.0119942100306903,0,0,0.100171380307912,1.04474772980625
sample061,0.0955857951713004,0,0.0367646044750528,0,0,0.203752642937249,0.00306395522688681,0.000436665248311998,0,0,0.0384177140344422,0,0.00811474625465073,0.112905325518231,0.152330204116519,0.169609717563474,0.0163129762331648,0.0364417152939001,0.0543094660578508,0,0.0237479654911207,0.0482065063778469,0,0.208113146432921,1.00176070707935
sample062,0.405685540643061,0,0.012052566720425,0.0432603952561485,0,0.214669005471697,0.0111586060147247,0,0,0,0.0285031895683378,0,0.0288548998042504,0.033222715674028,0,0.0936442752354407,0.0350503623623691,0.0734852924374745,0.0204131508120433,0,0,0,0,0.336243032925073,0.95727287408229
sample063,0.0726406103880954,0.0310666030989227,0,0.0559956610888469,0,0.26303481082033,0.00160121845756794,0,0,0,0.0593485188472911,0,0.0135774691093558,0.238382009417946,0.0839865336732769,0.128822223719177,0,0.0268329560750981,0.0247113853040925,0,0,0,0,0.254154652259094,0.984173176921631
sample064,0.113663397138888,0,0.0066412709484239,0,0,0.475744484799142,0,0,0,0,0,0.0717229952302728,0.0752706566539715,0,0.0261018321804406,0.110906444275738,0,0.038100480778945,0.058613373954126,0,0.0232350640400525,0,0,-0.0115370278719545,1.09949163815006
